in_lab3: .word 16, 16
.byte 247,247,247,247,246,247,247,247,247,247,247,247,246,247,247,247,
247,247,247,247,247,246,247,247,247,247,247,247,247,246,247,247,
247,247,247,247,247,246,246,247,247,247,247,247,247,247,246,247,
247,247,247,247,246,255,247,246,247,247,247,247,247,247,247,246,
246,247,247,246,255,247,247,247,246,247,247,247,247,247,247,247,
247,246,246,255,247,247,247,247,247,246,247,247,247,247,247,247,
247,247,246,247,247,247,247,247,247,247,246,247,247,247,247,247,
247,247,247,246,247,247,247,247,247,247,247,246,247,247,247,247,
247,247,247,247,246,247,247,247,247,247,247,247,246,247,247,247,
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
91,103,103,103,103,103,103,103,103,103,103,103,103,103,103,91,
91,103,86,86,86,86,86,86,86,86,86,86,86,86,103,91,
91,103,86,246,246,246,246,246,246,246,246,246,246,86,103,91,
91,103,86,246,86,86,86,86,86,86,86,86,246,86,103,91,
91,103,86,246,86,86,86,86,86,86,86,86,246,86,103,91,
91,103,86,246,86,86,86,86,86,86,86,86,246,86,103,91,


